"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"26","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","53","Avoid variables with short names like i","Code Style","ShortVariable"
"27","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","53","Parameter 'i' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"28","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","53","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"29","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","60","Avoid variables with short names like i","Code Style","ShortVariable"
"30","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","60","Parameter 'i' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"31","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","60","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"32","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","61","Local variable 'index' could be declared final","Code Style","LocalVariableCouldBeFinal"
"33","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","62","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"34","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","62","This statement should have braces","Code Style","ControlStatementBraces"
"35","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScan.java","3","63","This statement should have braces","Code Style","ControlStatementBraces"
"1","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","14","Field comments are required","Documentation","CommentRequired"
"3","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","15","Field comments are required","Documentation","CommentRequired"
"4","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","17","Public method and constructor comments are required","Documentation","CommentRequired"
"5","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","21","Parameter 'scan' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","21","Public method and constructor comments are required","Documentation","CommentRequired"
"7","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","28","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"8","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","32","Avoid variables with short names like i","Code Style","ShortVariable"
"9","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","41","This statement should have braces","Code Style","ControlStatementBraces"
"10","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/ImaginationScansList.java","3","42","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","1","16","The class name 'personLocationFinder' doesn't match '[A-Z][a-zA-Z0-9]+'","Code Style","ClassNamingConventions"
"3","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","18","Avoid variables with short names like DB","Code Style","ShortVariable"
"4","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","18","Field comments are required","Documentation","CommentRequired"
"5","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","18","The field name indicates a constant but its modifiers do not","Code Style","SuspiciousConstantFieldName"
"6","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","18","To avoid mistakes add a comment at the beginning of the DB field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"7","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","18","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"8","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","1","18","Variables should start with a lowercase character, 'DB' starts with uppercase character.","Code Style","VariableNamingConventions"
"9","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","19","Field comments are required","Documentation","CommentRequired"
"10","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","19","To avoid mistakes add a comment at the beginning of the input field if you want a default access modifier","Code Style","CommentDefaultAccessModifier"
"11","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","19","Use explicit scoping instead of the default package private level","Code Style","DefaultPackage"
"12","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","22","Parameter 'pathDB' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"13","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","22","Parameter 'pathInput' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"14","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","22","Public method and constructor comments are required","Documentation","CommentRequired"
"15","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","24","Local variable 'fDB' could be declared final","Code Style","LocalVariableCouldBeFinal"
"16","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","25","Local variable 'fInput' could be declared final","Code Style","LocalVariableCouldBeFinal"
"17","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","29","Avoid variables with short names like db","Code Style","ShortVariable"
"18","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","29","Parameter 'db' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"19","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","29","Parameter 'scan' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"20","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","29","Public method and constructor comments are required","Documentation","CommentRequired"
"21","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","32","Local variable 'scansList' could be declared final","Code Style","LocalVariableCouldBeFinal"
"22","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","36","Avoid variables with short names like db","Code Style","ShortVariable"
"23","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","36","Parameter 'db' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"24","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","36","Parameter 'macList' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"25","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","36","Public method and constructor comments are required","Documentation","CommentRequired"
"26","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","40","Public method and constructor comments are required","Documentation","CommentRequired"
"27","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","49","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"28","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","1","49","The instance method name 'Locating' doesn't match '[a-z][a-zA-Z0-9]+'","Code Style","MethodNamingConventions"
"29","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","51","Local variable 'list' could be declared final","Code Style","LocalVariableCouldBeFinal"
"30","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","56","Local variable 'scan' could be declared final","Code Style","LocalVariableCouldBeFinal"
"31","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","62","Parameter 'inputScan' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"32","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","62","Parameter 'list' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"33","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","68","Avoid variables with short names like pi","Code Style","ShortVariable"
"34","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","84","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"35","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","84","Parameter 'singleScan' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"36","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","95","Local variable 'delta' could be declared final","Code Style","LocalVariableCouldBeFinal"
"37","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","98","This statement should have braces","Code Style","ControlStatementBraces"
"38","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","102","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"39","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/personLocationFinder.java","3","104","This statement should have braces","Code Style","ControlStatementBraces"
"1","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","1","19","The class name 'wifiLocationFinder' doesn't match '[A-Z][a-zA-Z0-9]+'","Code Style","ClassNamingConventions"
"3","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","20","Field comments are required","Documentation","CommentRequired"
"4","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","21","Field comments are required","Documentation","CommentRequired"
"5","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","23","Parameter 'dataBase' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","23","Public method and constructor comments are required","Documentation","CommentRequired"
"7","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","30","Local variable 'macToWifiSpotMap' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","34","Comment is too large: Line too long","Documentation","CommentSize"
"9","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","45","Public method and constructor comments are required","Documentation","CommentRequired"
"10","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","47","Local variable 'tmpwifiList' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","48","Local variable 'macToWifiSpotMap' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","57","Parameter 'wifiList' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"13","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","67","Local variable 'weight' could be declared final","Code Style","LocalVariableCouldBeFinal"
"14","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","73","Local variable 'coor' could be declared final","Code Style","LocalVariableCouldBeFinal"
"15","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","74","Avoid variables with short names like ws","Code Style","ShortVariable"
"16","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","74","Local variable 'ws' could be declared final","Code Style","LocalVariableCouldBeFinal"
"17","main.java.Algorithms","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/Algorithms/wifiLocationFinder.java","3","75","Consider simply returning the value vs storing it in local variable 'ws'","Code Style","UnnecessaryLocalBeforeReturn"
"1","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","17","Header comments are required","Documentation","CommentRequired"
"3","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","19","Field comments are required","Documentation","CommentRequired"
"4","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","21","Avoid excessively long variable names like btnComputeLocation","Code Style","LongVariable"
"5","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","21","Field comments are required","Documentation","CommentRequired"
"6","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","22","Field comments are required","Documentation","CommentRequired"
"7","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","23","Field comments are required","Documentation","CommentRequired"
"8","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","24","Field comments are required","Documentation","CommentRequired"
"9","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","25","Field comments are required","Documentation","CommentRequired"
"10","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","26","Field comments are required","Documentation","CommentRequired"
"11","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","27","Field comments are required","Documentation","CommentRequired"
"12","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","48","Avoid variables with short names like db","Code Style","ShortVariable"
"13","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","48","It is a good practice to call super() in a constructor","Code Style","CallSuperInConstructor"
"14","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","48","Parameter 'db' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"15","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","49","Local variable 'wlf' could be declared final","Code Style","LocalVariableCouldBeFinal"
"16","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","58","Avoid variables with short names like e","Code Style","ShortVariable"
"17","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","58","Parameter 'e' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"18","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","58","Public method and constructor comments are required","Documentation","CommentRequired"
"19","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","59","Local variable 'MacStr' could be declared final","Code Style","LocalVariableCouldBeFinal"
"20","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","1","59","Variables should start with a lowercase character, 'MacStr' starts with uppercase character.","Code Style","VariableNamingConventions"
"21","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","61","This statement should have braces","Code Style","ControlStatementBraces"
"22","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","63","Local variable 'longtitude' could be declared final","Code Style","LocalVariableCouldBeFinal"
"23","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","64","Local variable 'latitude' could be declared final","Code Style","LocalVariableCouldBeFinal"
"24","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","65","Local variable 'altitude' could be declared final","Code Style","LocalVariableCouldBeFinal"
"25","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","86","Local variable 'lblMacAddress' could be declared final","Code Style","LocalVariableCouldBeFinal"
"26","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","90","Avoid excessively long variable names like lblEstimatedLocation","Code Style","LongVariable"
"27","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","90","Local variable 'lblEstimatedLocation' could be declared final","Code Style","LocalVariableCouldBeFinal"
"28","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","94","Local variable 'lblLon' could be declared final","Code Style","LocalVariableCouldBeFinal"
"29","main.java.GUI","/home/sam/Desktop/Final_Project/PMD/GIS/GIS/src/main/java/GUI/Algo1Window.java","3","98","Local variable 'lblLst' could be declared final","Code Style","LocalVariableCouldBeFinal"
